序号,代码,名称,最新价(元) 10:28,涨跌幅(%) 10:28,证券类型,成交额(元) 10:28,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
1,301583,N托伦斯,241.24,967.43,A股,38.45亿,电子-半导体-半导体设备,托伦斯,电子-半导体-半导体设备,国产芯片、融资融券、创业板综、半导体概念,218.640,264.42,203.40,52.47,0.00,1617.77万,763.23,24.1538,446.99亿,74.30亿
2,920081,N欧伦,51.39,32.83,A股,4.65亿,家用电器-小家电-清洁小家电,欧伦电气,家用电器-小家电-清洁小家电,融资融券、贬值受益,12.700,58.88,49.02,50.77,0.00,868.17万,15.55,2.3359,37.31亿,8.79亿
3,920267,鑫汇科,18.14,29.94,A股,9484.34万,电子-消费电子-消费电子零部件及组装,鑫汇科,电子-消费电子-消费电子零部件及组装,国产芯片、跨境电商、专精特新、融资融券、智能家居、海峡两岸、MCU芯片、半导体概念、深圳特区、超跌股,4.180,18.14,13.97,20.20,35.83,549.05万,-60.43,3.5716,8.61亿,4.93亿
4,688238,和元生物,6.90,20.00,A股,2.94亿,医药生物-医疗服务-医疗研发外包,和元生物,医药生物-医疗服务-医疗研发外包,CAR-T细胞疗法、CRO、细胞免疫治疗、创新医疗服务、专精特新、融资融券、免疫治疗、破发股、人工智能、重组蛋白、智能医疗、基因测序、上海自贸,1.150,6.90,5.80,6.91,6.51,4431.83万,-21.09,3.3033,44.78亿,44.24亿
5,688328,深科达,122.41,19.99,A股,16.07亿,机械设备-专用设备-其他专用设备,深科达,机械设备-专用设备-其他专用设备,国产芯片、专精特新、电子纸概念、昨日高振幅、新能源车、光通信模块、第三代半导体、存储芯片、深圳特区、柔性屏、新型工业化、华为概念、小米概念、最近多板、消费电子概念、智能穿戴、CPO概念、OLED、混合现实、机器人概念、融资融券、2025年报扭亏、AI眼镜、显示技术、昨日首板、虚拟现实、半导体概念、先进封装、机器视觉、锂电池概念、先进封装设备、机器人执行器、MiniLED,20.390,122.42,112.11,14.19,6.19,1339.93万,106.79,13.7516,115.62亿,115.62亿
6,300786,国林科技,23.90,19.98,A股,2.04亿,环保-环保设备Ⅱ-环保设备Ⅲ,国林科技,环保-环保设备Ⅱ-环保设备Ⅲ,国产芯片、专精特新、医废处理、海工装备、新疆振兴、节能环保、存储芯片、污水处理、中俄贸易概念、光刻机/胶、OLED、雄安新区、医疗器械概念、商业航天、净水概念、半导体概念、先进封装、氢能源、光伏概念、新材料、空气能热泵、煤化工概念、HJT电池、创业板综、先进封装设备、冷链物流,3.980,23.90,20.20,6.11,3.32,894.88万,227.60,3.9327,43.98亿,34.99亿
7,300071,福石控股,4.94,19.90,A股,11.22亿,传媒-广告营销-营销代理,福石控股,传媒-广告营销-营销代理,多模态AI、昨日高振幅、数字经济、元宇宙概念、抖音概念、华为概念、小红书概念、昨日高换手、腾讯概念、京津冀一体化、AI应用、百度概念、DeepSeek概念、人工智能、AI语料、Sora概念、数据要素、深股通、AIGC概念、昨日触板、ChatGPT概念、Web3.0、虚拟数字人、比亚迪概念、创业板综、昨日炸板,0.820,4.94,4.04,25.88,7.64,2.45亿,-1799.50,29.5804,47.62亿,46.70亿
8,300255,常山药业,26.09,18.86,A股,13.21亿,医药生物-化学制药-化学制剂,常山药业,医药生物-化学制药-化学制剂,中盘股、雄安新区、融资融券、深股通、医美概念、零售概念、特色药、新消费、深成500、肝素概念、医药医疗风格、化妆品概念、创业板综、减肥药、创新药、MSCI中国、超跌股,4.140,26.34,21.43,5.81,5.45,5332.76万,1021.44,19.8220,239.87亿,239.50亿
9,300105,龙源技术,8.21,18.81,A股,4.62亿,环保-环保设备Ⅱ-环保设备Ⅲ,龙源技术,电力设备-其他电源设备Ⅱ-火电设备,雄安新区、破发股、超超临界发电、节能环保、碳交易、华为概念、光伏概念、固废处理、2025三季报预增、储能概念、央国企改革、DeepSeek概念、PM2.5、创业板综、风能、碳中和,1.300,8.29,6.82,11.30,8.16,5824.67万,87.19,2.3692,42.40亿,42.37亿
10,688101,三达膜,17.94,16.80,A股,1.99亿,环保-环境治理-水务及水治理,三达膜,环保-环境治理-水务及水治理,福建自贸区、融资融券、西部大开发、破发股、净水概念、沪股通、节能环保、核污染防治、污水处理、新材料、锂电池概念、盐湖提锂、石墨烯、海峡两岸、隔膜、代糖概念,2.580,18.43,15.62,3.39,15.93,1125.30万,15.12,1.3292,59.56亿,59.56亿
