序号,代码,名称,最新价(元) 10:28,涨跌幅(%) 10:28,证券类型,成交额(元) 10:28,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
1,603986,兆易创新,682.98,2.94,A股,293.70亿,电子-半导体-数字芯片设计,兆易创新,电子-半导体-数字芯片设计,国产芯片、上证180_、贬值受益、2026中报预增、存储芯片、标准普尔、小米概念、最近多板、东方财富热股、智能穿戴、消费电子概念、HS300_、大盘成长、SRAM存储、人工智能、央视50_、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、题材股、融资融券、AI眼镜、昨日首板、超清视频、沪股通、半导体概念、大盘股、光伏概念、长鑫存储、上证50_、人形机器人、锂电池概念、汽车芯片、传感器、无线耳机、DRAM存储、汽车电子,19.490,707.97,675.83,6.33,2.96,4231.64万,82.00,19.3370,4792.78亿,4565.67亿
2,300308,中际旭创,1177.77,-1.43,A股,218.36亿,通信-通信设备-通信网络设备及器件,中际旭创,通信-通信设备-通信网络设备及器件,国产芯片、数据中心液冷、5G概念、深证100R、贬值受益、光通信模块、深成500、节能环保、通信技术、东方财富热股、创投、HS300_、大盘成长、CPO概念、无人驾驶、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国、激光雷达、权重股、融资融券、行业龙头、液冷概念、深股通、算力概念、F5G概念、大盘股、数据中心、创业板综、汽车电子,-17.130,1218.00,1166.50,1.65,2.31,1833.81万,57.31,37.9435,1.31万亿,1.31万亿
3,600584,长电科技,111.15,7.37,A股,162.62亿,电子-半导体-集成电路封测,长电科技,电子-半导体-集成电路封测,国产芯片、IGBT概念、昨日高振幅、上证180_、国家大基金持股、贬值受益、第三代半导体、存储芯片、标准普尔、最近多板、通信技术、东方财富热股、智能穿戴、消费电子概念、HS300_、中芯概念、高带宽内存、央国企改革、CPO概念、毫米波概念、人工智能、无人驾驶、科技风格、富时罗素、物联网、MSCI中国、机器人概念、题材股、华为海思、融资融券、昨日首板、沪股通、绿色电力、半导体概念、先进封装、大盘股、苹果概念、玻璃基板、新材料、生物识别、汽车芯片、先进封装设备、长江三角、汽车电子,7.630,113.87,107.77,8.17,2.89,1.46亿,171.30,6.9575,1988.93亿,1988.93亿
4,002384,东山精密,267.99,2.55,A股,157.03亿,电子-元件-印制电路板,东山精密,电子-元件-印制电路板,国产芯片、光芯片、LED概念、5G概念、周期股、深证100R、昨日高振幅、高压快充、贬值受益、光通信模块、新能源车、标准普尔、深成500、华为概念、小米概念、最近多板、通信技术、东方财富热股、创投、智能穿戴、消费电子概念、HS300_、2026一季报预增、CPO概念、OLED、科技风格、富时罗素、MSCI中国、AI手机、机器人概念、题材股、融资融券、深股通、昨日首板、大盘股、苹果概念、PCB、数据中心、人形机器人、光纤概念、服务器PCB、长江三角、MiniLED、特斯拉概念,6.670,274.50,262.50,4.20,2.36,5827.06万,110.56,21.6830,4908.52亿,3715.20亿
5,000725,京东方Ａ,8.05,-1.23,A股,145.82亿,电子-光学光电子-面板,京东方A,电子-光学光电子-面板,国产芯片、屏下摄像、LED概念、周期股、深证100R、AIPC、深成500、东方财富热股、智能穿戴、AI应用、OLED、富时罗素、物联网、机器人概念、题材股、AB股、民营医院、融资融券、行业龙头、显示技术、超清视频、苹果概念、先进封装、光伏概念、玻璃基板、智慧灯杆、光纤概念、裸眼3D、新零售、智能医疗、MiniLED、电子纸概念、昨日高振幅、新能源车、钙钛矿电池、工业互联、2026中报预增、标准普尔、柔性屏、华为概念、小米概念、长安汽车概念、消费电子概念、HS300_、巨量转移、MicroLED、央国企改革、荣耀概念、CPO概念、人工智能、混合现实、科技风格、MSCI中国、医疗器械概念、AI眼镜、深股通、虚拟电厂、充电桩、医美概念、虚拟现实、智能座舱、智慧城市、大盘股、UWB概念、电子竞技、传感器、光伏建筑一体化,-0.100,8.34,8.01,5.06,2.05,17.89亿,43.67,2.2249,2982.07亿,2847.05亿
6,000977,浪潮信息,93.11,8.28,A股,140.49亿,计算机-计算机设备-其他计算机设备,浪潮信息,计算机-计算机设备-其他计算机设备,国资云概念、深证100R、数字经济、抖音概念、深成500、东方财富热股、趋势股、大盘成长、腾讯概念、CDU、边缘计算、中国AI 50、无人驾驶、国产操作系统、富时罗素、题材股、融资融券、液冷概念、腾讯系算力、AIGC概念、网络安全、数据中心、英伟达概念、大数据、数据中心液冷、东数西算、元宇宙概念、车联网、水利建设、2026中报预增、标准普尔、最近多板、HS300_、信创、算力租赁、央国企改革、百度概念、百日新高 、DeepSeek概念、人工智能、科技风格、MSCI中国、云计算、深股通、算力概念、近期新高、智慧城市、大盘股、国产软件、历史新高 ,7.120,94.38,90.36,10.41,5.38,1.53亿,56.51,6.1469,1367.30亿,1365.77亿
7,300502,新易盛,558.58,2.40,A股,135.27亿,通信-通信设备-通信网络设备及器件,新易盛,通信-通信设备-通信网络设备及器件,国产芯片、权重股、5G概念、融资融券、深证100R、西部大开发、深股通、算力概念、贬值受益、光通信模块、深成500、大盘股、通信技术、数据中心、东方财富热股、HS300_、大盘成长、CPO概念、创业板综、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国,13.080,570.98,548.00,1.93,2.08,2416.99万,70.08,40.1457,7793.62亿,7010.97亿
8,600487,亨通光电,82.33,2.84,A股,133.68亿,通信-通信设备-通信线缆及配套,亨通光电,通信-通信设备-通信线缆及配套,光纤光缆、国产芯片、5G概念、海工装备、昨日高振幅、光通信模块、新能源车、水利建设、标准普尔、华为概念、通信技术、东方财富热股、创投、大盘成长、CPO概念、毫米波概念、DeepSeek概念、量子通信、无人驾驶、科技风格、富时罗素、物联网、海底电缆、MSCI中国、机器人概念、电网概念、量子科技、军工、6G概念、融资融券、液冷概念、F5G概念、沪股通、特高压、智慧城市、大盘股、网络安全、数据中心、小米汽车、人形机器人、一带一路、光纤概念、智能电网、太赫兹、长江三角、风能、柔性直流输电、大数据,2.270,86.39,80.80,6.52,3.46,1.60亿,45.93,6.3982,2030.58亿,2020.09亿
9,688008,澜起科技,289.79,1.40,A股,116.02亿,电子-半导体-数字芯片设计,澜起科技,电子-半导体-数字芯片设计,国产芯片、AIPC、昨日高振幅、上证180_、贬值受益、CPU、存储芯片、AI芯片、东方财富热股、消费电子概念、HS300_、大盘成长、中芯概念、人工智能、科技风格、富时罗素、2025年报预增、MSCI中国、云计算、数据安全、题材股、融资融券、算力概念、沪股通、半导体概念、大盘股、数据中心、上证50_、DRAM存储,3.990,297.96,285.09,3.47,2.45,3966.99万,104.35,16.9675,3537.00亿,3317.41亿
10,688041,海光信息,386.72,6.40,A股,113.41亿,电子-半导体-数字芯片设计,海光信息,电子-半导体-数字芯片设计,国产芯片、专精特新、东数西算、上证180_、抖音概念、CPU、水利建设、GPU、AI芯片、趋势股、HS300_、大盘成长、腾讯概念、信创、百度概念、DeepSeek概念、人工智能、中国AI 50、科技风格、MSCI中国、阿里概念、量子科技、权重股、融资融券、算力概念、沪股通、半导体概念、大盘股、上证50_、阿里系算力,23.260,395.17,365.87,1.28,3.58,2976.07万,327.05,38.8289,8988.68亿,8988.68亿
