序号,代码,名称,最新价(元) 2026.06.25,涨跌幅(%) 2026.06.25,证券类型,股票简称,成交额(元) 2026.06.25,申万行业分类,东财行业总分类,概念,涨跌额(元) 2026.06.25,最高价(元) 2026.06.25,最低价(元) 2026.06.25,换手率(%) 2026.06.25,量比 2026.06.25,成交量(股) 2026.06.25,市盈率(动)(倍) 2026.06.25,市净率(倍) 2026.06.25,总市值(元) 2026.06.25,流通市值(元) 2026.06.25
1,300308,中际旭创,1323.40,0.86,A股,中际旭创,496.55亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、数据中心液冷、5G概念、深证100R、贬值受益、光通信模块、深成500、节能环保、通信技术、趋势股、创投、HS300_、大盘成长、CPO概念、无人驾驶、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国、激光雷达、权重股、融资融券、行业龙头、液冷概念、深股通、算力概念、F5G概念、大盘股、数据中心、创业板综、汽车电子,11.220,1345.09,1280.02,3.39,1.41,3760.90万,64.34,42.6033,1.48万亿,1.47万亿
2,300502,新易盛,610.49,9.94,A股,新易盛,405.88亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、权重股、5G概念、融资融券、深证100R、西部大开发、深股通、算力概念、贬值受益、光通信模块、深成500、大盘股、通信技术、数据中心、趋势股、HS300_、大盘成长、CPO概念、创业板综、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国,55.190,610.80,550.06,5.54,1.63,6942.74万,76.54,43.8452,8511.80亿,7657.03亿
3,603986,兆易创新,775.21,9.94,A股,兆易创新,384.33亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、昨日高振幅、上证180_、贬值受益、存储芯片、标准普尔、小米概念、最近多板、东方财富热股、智能穿戴、消费电子概念、HS300_、大盘成长、SRAM存储、百日新高 、人工智能、央视50_、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、题材股、融资融券、AI眼镜、近期新高、昨日首板、超清视频、沪股通、半导体概念、大盘股、光伏概念、长鑫存储、上证50_、历史新高 、人形机器人、锂电池概念、汽车芯片、传感器、无线耳机、汽车电子、DRAM存储,70.120,775.39,735.00,7.61,0.88,5086.78万,93.07,21.9484,5440.03亿,5182.22亿
4,000725,京东方Ａ,7.52,6.36,A股,京东方A,275.60亿,电子-光学光电子-面板,电子-光学光电子-面板,国产芯片、屏下摄像、LED概念、周期股、深证100R、AIPC、深成500、东方财富热股、智能穿戴、趋势股、AI应用、OLED、富时罗素、物联网、机器人概念、题材股、AB股、民营医院、融资融券、行业龙头、显示技术、超清视频、苹果概念、先进封装、光伏概念、玻璃基板、光纤概念、裸眼3D、大盘价值、新零售、智能医疗、MiniLED、电子纸概念、昨日高振幅、钙钛矿电池、工业互联、标准普尔、柔性屏、华为概念、小米概念、长安汽车概念、消费电子概念、HS300_、巨量转移、MicroLED、央国企改革、荣耀概念、CPO概念、人工智能、混合现实、科技风格、MSCI中国、医疗器械概念、AI眼镜、深股通、虚拟电厂、充电桩、医美概念、虚拟现实、智能座舱、智慧城市、大盘股、UWB概念、电子竞技、传感器、光伏建筑一体化,0.450,7.67,7.14,10.45,1.15,36.96亿,40.79,2.0785,2785.73亿,2659.61亿
5,300394,天孚通信,341.97,5.13,A股,天孚通信,259.21亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,专精特新、5G概念、深证100R、贬值受益、深成500、华为概念、通信技术、HS300_、大盘成长、CPO概念、无人驾驶、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、深股通、算力概念、大盘股、先进封装、MPO连接器、数据中心、英伟达概念、光纤概念、创业板综,16.690,346.00,312.00,7.32,1.60,7966.90万,189.46,68.2360,3730.29亿,3721.96亿
6,688008,澜起科技,279.16,4.75,A股,澜起科技,253.54亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、AIPC、上证180_、贬值受益、CPU、存储芯片、AI芯片、消费电子概念、HS300_、大盘成长、中芯概念、人工智能、科技风格、富时罗素、2025年报预增、MSCI中国、云计算、数据安全、融资融券、算力概念、沪股通、半导体概念、大盘股、数据中心、上证50_、DRAM存储,12.670,284.99,268.00,7.96,1.21,9130.12万,100.66,16.3674,3411.89亿,3200.36亿
7,688256,寒武纪,1505.00,3.58,A股,寒武纪,237.99亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、AI芯片、HS300_、大盘成长、边缘计算、人工智能、国产操作系统、中国AI 50、科技风格、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、阿里系算力、汽车芯片,52.000,1536.25,1436.00,2.54,1.02,1598.22万,233.31,77.2607,9455.81亿,9455.81亿
8,688525,佰维存储,480.30,15.18,A股,佰维存储,224.71亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、粤港澳大湾区、专精特新、AIPC、上证180_、国家大基金持股、存储芯片、小米概念、华为概念、东方财富热股、智能穿戴、消费电子概念、趋势股、信创、科技风格、2025年报预增、MSCI中国、阿里概念、AI手机、机器人概念、融资融券、AI眼镜、沪股通、半导体概念、先进封装、大盘股、数据中心、人形机器人、比亚迪概念、股权激励、汽车芯片、DRAM存储,63.300,488.00,438.00,10.28,1.12,4845.68万,19.53,26.8440,2264.93亿,2264.93亿
9,688041,海光信息,360.28,6.88,A股,海光信息,215.00亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、专精特新、东数西算、上证180_、抖音概念、水利建设、CPU、GPU、AI芯片、HS300_、大盘成长、腾讯概念、信创、百度概念、DeepSeek概念、人工智能、中国AI 50、科技风格、MSCI中国、阿里概念、量子科技、权重股、融资融券、算力概念、沪股通、半导体概念、大盘股、上证50_、阿里系算力,23.180,369.00,338.00,2.60,1.37,6044.63万,304.69,36.1742,8374.13亿,8374.13亿
10,002384,东山精密,275.80,7.26,A股,东山精密,213.77亿,电子-元件-印制电路板,电子-元件-印制电路板,国产芯片、光芯片、LED概念、5G概念、周期股、深证100R、高压快充、贬值受益、光通信模块、新能源车、标准普尔、深成500、华为概念、小米概念、通信技术、东方财富热股、创投、消费电子概念、智能穿戴、HS300_、2026一季报预增、CPO概念、OLED、科技风格、富时罗素、MSCI中国、机器人概念、AI手机、融资融券、深股通、大盘股、苹果概念、PCB、数据中心、人形机器人、光纤概念、服务器PCB、长江三角、MiniLED、特斯拉概念,18.670,275.99,258.25,5.71,1.00,7917.88万,113.79,22.3149,5051.57亿,3823.48亿
