序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,涨跌幅(%) 2026.06.22,成交额(元) 2026.06.22,成交额(元) 2026.06.26,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
1,300308,中际旭创,1253.89,-5.25,A股,1.06,386.44亿,444.81亿,通信-通信设备-通信网络设备及器件,中际旭创,通信-通信设备-通信网络设备及器件,国产芯片、数据中心液冷、5G概念、深证100R、贬值受益、光通信模块、深成500、节能环保、通信技术、东方财富热股、创投、HS300_、大盘成长、CPO概念、无人驾驶、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国、激光雷达、权重股、融资融券、行业龙头、液冷概念、深股通、算力概念、F5G概念、大盘股、数据中心、创业板综、汽车电子,-69.510,1296.94,1235.13,3.18,1.18,3528.11万,60.96,40.3656,1.40万亿,1.39万亿
2,603986,兆易创新,770.00,-0.67,A股,9.65,347.00亿,374.18亿,电子-半导体-数字芯片设计,兆易创新,电子-半导体-数字芯片设计,国产芯片、上证180_、贬值受益、存储芯片、标准普尔、小米概念、东方财富热股、智能穿戴、消费电子概念、HS300_、大盘成长、SRAM存储、人工智能、央视50_、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、题材股、融资融券、AI眼镜、超清视频、沪股通、半导体概念、大盘股、光伏概念、长鑫存储、上证50_、人形机器人、锂电池概念、汽车芯片、传感器、无线耳机、DRAM存储、汽车电子,-5.210,779.00,732.52,7.39,0.88,4939.26万,92.45,21.8009,5403.47亿,5147.39亿
3,300502,新易盛,566.00,-7.29,A股,-0.26,263.06亿,352.83亿,通信-通信设备-通信网络设备及器件,新易盛,通信-通信设备-通信网络设备及器件,国产芯片、权重股、5G概念、融资融券、深证100R、西部大开发、深股通、算力概念、贬值受益、光通信模块、深成500、大盘股、通信技术、数据中心、趋势股、HS300_、大盘成长、CPO概念、创业板综、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国,-44.490,598.00,550.00,4.93,1.27,6177.33万,70.96,40.6499,7891.49亿,7099.02亿
4,000725,京东方Ａ,7.79,3.59,A股,5.80,254.27亿,356.77亿,电子-光学光电子-面板,京东方A,电子-光学光电子-面板,国产芯片、屏下摄像、LED概念、周期股、深证100R、AIPC、深成500、东方财富热股、智能穿戴、趋势股、AI应用、OLED、富时罗素、物联网、机器人概念、题材股、AB股、民营医院、融资融券、行业龙头、显示技术、超清视频、苹果概念、先进封装、光伏概念、玻璃基板、光纤概念、裸眼3D、新零售、智能医疗、MiniLED、电子纸概念、昨日高振幅、钙钛矿电池、工业互联、标准普尔、柔性屏、华为概念、小米概念、长安汽车概念、消费电子概念、HS300_、巨量转移、MicroLED、央国企改革、百日新高 、荣耀概念、CPO概念、人工智能、混合现实、科技风格、MSCI中国、医疗器械概念、AI眼镜、深股通、近期新高、虚拟电厂、充电桩、医美概念、虚拟现实、智能座舱、智慧城市、大盘股、UWB概念、电子竞技、传感器、光伏建筑一体化,0.270,8.24,7.36,12.79,1.27,45.25亿,42.26,2.1531,2885.75亿,2755.10亿
5,002384,东山精密,260.32,-5.61,A股,-0.90,243.36亿,181.83亿,电子-元件-印制电路板,东山精密,电子-元件-印制电路板,国产芯片、光芯片、LED概念、5G概念、周期股、深证100R、高压快充、贬值受益、光通信模块、新能源车、标准普尔、深成500、华为概念、小米概念、通信技术、创投、消费电子概念、智能穿戴、HS300_、2026一季报预增、CPO概念、OLED、科技风格、富时罗素、MSCI中国、机器人概念、AI手机、融资融券、深股通、大盘股、苹果概念、PCB、数据中心、人形机器人、光纤概念、服务器PCB、长江三角、MiniLED、特斯拉概念,-15.480,271.88,256.00,4.98,0.91,6907.75万,107.40,21.0624,4768.04亿,3608.87亿
6,300750,宁德时代,381.00,-5.20,A股,4.45,239.26亿,181.34亿,电力设备-电池-锂电池,宁德时代,电力设备-电池-锂电池,钠离子电池、周期股、深证100R、新能源车、深成500、宁德时代概念、先进制造风格、华为概念、长安汽车概念、电池技术、HS300_、固态电池、储能概念、蚂蚁概念、富时罗素、MSCI中国、动力电池回收、宁组合、权重股、融资融券、行业龙头、华为汽车、深股通、大盘股、麒麟电池、小米汽车、换电概念、锂电池概念、茅指数、创业板综、锂矿概念、特斯拉概念,-20.900,409.81,381.00,1.09,1.15,4652.53万,21.25,5.3937,1.76万亿,1.62万亿
7,601138,工业富联,70.22,-8.79,A股,1.02,233.18亿,189.33亿,电子-消费电子-消费电子零部件及组装,工业富联,电子-消费电子-消费电子零部件及组装,国产芯片、数据中心液冷、区块链、5G概念、两岸合作、东数西算、昨日高振幅、上证180_、新能源车、车联网、工业互联、标准普尔、深圳特区、新型工业化、创投、HS300_、UQD连接器、算力租赁、CPO概念、独角兽、人工智能、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、阿里概念、机器人概念、云计算、权重股、融资融券、医疗器械概念、行业龙头、液冷概念、算力概念、虚拟现实、沪股通、智慧城市、大盘股、苹果概念、数据中心、英伟达概念、海峡两岸、大数据,-6.770,75.00,70.00,1.32,0.95,2.62亿,32.88,7.9075,1.39万亿,1.39万亿
8,688008,澜起科技,261.82,-6.21,A股,3.76,221.44亿,200.75亿,电子-半导体-数字芯片设计,澜起科技,电子-半导体-数字芯片设计,国产芯片、AIPC、上证180_、贬值受益、CPU、存储芯片、AI芯片、消费电子概念、HS300_、大盘成长、中芯概念、人工智能、科技风格、富时罗素、2025年报预增、MSCI中国、云计算、数据安全、融资融券、算力概念、沪股通、半导体概念、大盘股、数据中心、上证50_、DRAM存储,-17.340,276.97,257.02,6.59,0.96,7550.02万,94.41,15.3507,3199.96亿,3001.57亿
9,300059,东方财富,20.07,-4.93,A股,12.74,219.81亿,127.55亿,非银金融-证券Ⅱ-证券Ⅲ,东方财富,非银金融-证券Ⅱ-证券Ⅲ,区块链、周期股、鸿蒙概念、深证100R、参股期货、证金持股、互联网保险、深成500、东方财富热股、HS300_、互联网金融、AI应用、DeepSeek概念、人工智能、富时罗素、金融地产风格、网红经济、MSCI中国、数据要素、权重股、融资融券、深股通、虚拟机器人、AIGC概念、券商概念、大盘股、互联网服务、国产软件、茅指数、创业板综、长江三角、大数据,-1.040,21.17,20.02,4.66,0.75,6.23亿,21.24,3.3683,3175.52亿,2680.01亿
10,688256,寒武纪,1458.00,-3.12,A股,-3.35,218.82亿,182.44亿,电子-半导体-数字芯片设计,寒武纪,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、AI芯片、HS300_、大盘成长、边缘计算、人工智能、国产操作系统、中国AI 50、科技风格、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、汽车芯片、阿里系算力,-47.000,1518.98,1415.00,1.98,0.77,1243.52万,226.03,74.8479,9160.51亿,9160.51亿
