序号,代码,名称,最新价(元) 11:19,涨跌幅(%) 11:19,证券类型,涨跌幅(%) 2026.07.06,成交额(元) 2026.07.06,成交额(元) 11:19,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 11:19,最高价(元) 11:19,最低价(元) 11:19,换手率(%) 11:19,量比 11:19,成交量(股) 11:19,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
1,603986,兆易创新,666.93,0.52,A股,-3.46,397.69亿,374.75亿,电子-半导体-数字芯片设计,兆易创新,电子-半导体-数字芯片设计,国产芯片、上证180_、贬值受益、2026中报预增、存储芯片、标准普尔、小米概念、最近多板、东方财富热股、智能穿戴、消费电子概念、HS300_、大盘成长、SRAM存储、人工智能、央视50_、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、题材股、融资融券、AI眼镜、昨日首板、超清视频、沪股通、半导体概念、大盘股、光伏概念、长鑫存储、上证50_、人形机器人、锂电池概念、汽车芯片、传感器、无线耳机、DRAM存储、汽车电子,3.440,707.97,662.79,8.14,2.04,5442.87万,80.07,18.8812,4679.80亿,4458.04亿
2,300308,中际旭创,1161.02,-2.84,A股,-1.53,347.04亿,284.05亿,通信-通信设备-通信网络设备及器件,中际旭创,通信-通信设备-通信网络设备及器件,国产芯片、数据中心液冷、5G概念、深证100R、贬值受益、光通信模块、深成500、节能环保、通信技术、东方财富热股、创投、HS300_、大盘成长、CPO概念、无人驾驶、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国、激光雷达、权重股、融资融券、行业龙头、液冷概念、深股通、算力概念、F5G概念、大盘股、数据中心、创业板综、汽车电子,-33.880,1218.00,1151.00,2.16,1.62,2400.22万,56.48,37.3943,1.30万亿,1.29万亿
3,000725,京东方Ａ,7.96,-2.33,A股,-7.40,297.11亿,185.95亿,电子-光学光电子-面板,京东方A,电子-光学光电子-面板,国产芯片、屏下摄像、LED概念、周期股、深证100R、AIPC、深成500、东方财富热股、智能穿戴、AI应用、OLED、富时罗素、物联网、机器人概念、题材股、AB股、民营医院、融资融券、行业龙头、显示技术、超清视频、苹果概念、先进封装、光伏概念、玻璃基板、智慧灯杆、光纤概念、裸眼3D、新零售、智能医疗、MiniLED、电子纸概念、昨日高振幅、新能源车、钙钛矿电池、工业互联、2026中报预增、标准普尔、柔性屏、华为概念、小米概念、长安汽车概念、消费电子概念、HS300_、巨量转移、MicroLED、央国企改革、荣耀概念、CPO概念、人工智能、混合现实、科技风格、MSCI中国、医疗器械概念、AI眼镜、深股通、虚拟电厂、充电桩、医美概念、虚拟现实、智能座舱、智慧城市、大盘股、UWB概念、电子竞技、传感器、光伏建筑一体化,-0.190,8.34,7.90,6.48,1.41,22.93亿,43.18,2.2001,2948.73亿,2815.22亿
4,300502,新易盛,555.28,1.79,A股,-3.63,221.49亿,170.32亿,通信-通信设备-通信网络设备及器件,新易盛,通信-通信设备-通信网络设备及器件,国产芯片、权重股、5G概念、融资融券、深证100R、西部大开发、深股通、算力概念、贬值受益、光通信模块、深成500、大盘股、通信技术、数据中心、东方财富热股、HS300_、大盘成长、CPO概念、创业板综、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国,9.780,570.98,545.93,2.43,1.41,3053.00万,69.71,39.9331,7752.35亿,6973.84亿
5,301308,江波龙,611.45,-1.38,A股,10.32,202.33亿,80.60亿,电子-半导体-数字芯片设计,江波龙,电子-半导体-数字芯片设计,国产芯片、专精特新、深证100R、AIPC、贬值受益、国家大基金持股、长江存储、2026中报预增、存储芯片、深成500、华为概念、小米概念、东方财富热股、智能穿戴、消费电子概念、HS300_、AI手机结构件、信创、科技风格、2025年报预增、MSCI中国、AI手机、机器人概念、华为鲲鹏、数据安全、融资融券、AI眼镜、深股通、智能座舱、半导体概念、大盘股、先进封装、数据中心、长鑫存储、小米汽车、创业板综、DRAM存储、EDR概念,-8.550,645.09,608.01,4.55,1.32,1281.89万,16.75,21.7286,2587.02亿,1723.52亿
6,600584,长电科技,109.08,5.37,A股,4.63,197.49亿,209.45亿,电子-半导体-集成电路封测,长电科技,电子-半导体-集成电路封测,国产芯片、IGBT概念、昨日高振幅、上证180_、国家大基金持股、贬值受益、第三代半导体、存储芯片、标准普尔、最近多板、通信技术、东方财富热股、智能穿戴、消费电子概念、HS300_、中芯概念、高带宽内存、央国企改革、CPO概念、毫米波概念、人工智能、无人驾驶、科技风格、富时罗素、物联网、MSCI中国、机器人概念、题材股、华为海思、融资融券、昨日首板、沪股通、绿色电力、半导体概念、先进封装、大盘股、苹果概念、玻璃基板、新材料、生物识别、汽车芯片、先进封装设备、长江三角、汽车电子,5.560,113.87,107.00,10.58,2.01,1.89亿,168.09,6.8273,1951.71亿,1951.71亿
7,688525,佰维存储,413.00,-1.40,A股,6.26,196.35亿,89.17亿,电子-半导体-数字芯片设计,佰维存储,电子-半导体-数字芯片设计,国产芯片、专精特新、AIPC、上证180_、国家大基金持股、存储芯片、华为概念、小米概念、智能穿戴、消费电子概念、信创、科技风格、2025年报预增、MSCI中国、阿里概念、AI手机、机器人概念、融资融券、AI眼镜、沪股通、半导体概念、先进封装、大盘股、数据中心、人形机器人、比亚迪概念、股权激励、汽车芯片、DRAM存储,-5.880,430.00,408.83,4.49,1.29,2117.42万,16.80,23.0826,1947.57亿,1947.57亿
8,001309,德明利,839.01,-2.50,A股,6.02,195.59亿,82.66亿,电子-半导体-数字芯片设计,德明利,电子-半导体-数字芯片设计,国产芯片、光芯片、专精特新、5G概念、AIPC、昨日高振幅、2026一季报扭亏、长江存储、贬值受益、存储芯片、深成500、通信技术、东方财富热股、智能穿戴、大盘成长、信创、中芯概念、CPO概念、人工智能、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、中证500、半导体概念、大盘股、数据中心、汽车电子,-21.470,878.99,828.00,5.84,1.22,963.70万,14.24,28.7728,1905.73亿,1386.74亿
9,002384,东山精密,261.28,-0.02,A股,-3.55,174.53亿,195.53亿,电子-元件-印制电路板,东山精密,电子-元件-印制电路板,国产芯片、光芯片、LED概念、5G概念、周期股、深证100R、昨日高振幅、高压快充、贬值受益、光通信模块、新能源车、标准普尔、深成500、华为概念、小米概念、最近多板、通信技术、东方财富热股、创投、智能穿戴、消费电子概念、HS300_、2026一季报预增、CPO概念、OLED、科技风格、富时罗素、MSCI中国、AI手机、机器人概念、题材股、融资融券、深股通、昨日首板、大盘股、苹果概念、PCB、数据中心、人形机器人、光纤概念、服务器PCB、长江三角、MiniLED、特斯拉概念,-0.040,274.50,260.01,5.26,1.58,7294.11万,107.80,21.1417,4785.99亿,3622.46亿
10,600487,亨通光电,81.12,1.32,A股,-5.39,171.32亿,157.62亿,通信-通信设备-通信线缆及配套,亨通光电,通信-通信设备-通信线缆及配套,光纤光缆、国产芯片、5G概念、海工装备、昨日高振幅、光通信模块、新能源车、水利建设、标准普尔、华为概念、通信技术、东方财富热股、创投、大盘成长、CPO概念、毫米波概念、DeepSeek概念、量子通信、无人驾驶、科技风格、富时罗素、物联网、海底电缆、MSCI中国、机器人概念、电网概念、量子科技、军工、6G概念、融资融券、液冷概念、F5G概念、沪股通、特高压、智慧城市、大盘股、网络安全、数据中心、小米汽车、人形机器人、一带一路、光纤概念、智能电网、太赫兹、长江三角、风能、柔性直流输电、大数据,1.060,86.39,80.55,7.73,2.20,1.90亿,45.25,6.3042,2000.74亿,1990.40亿
11,688008,澜起科技,285.04,-0.27,A股,0.70,168.91亿,144.60亿,电子-半导体-数字芯片设计,澜起科技,电子-半导体-数字芯片设计,国产芯片、AIPC、昨日高振幅、上证180_、贬值受益、CPU、存储芯片、AI芯片、东方财富热股、消费电子概念、HS300_、大盘成长、中芯概念、人工智能、科技风格、富时罗素、2025年报预增、MSCI中国、云计算、数据安全、题材股、融资融券、算力概念、沪股通、半导体概念、大盘股、数据中心、上证50_、DRAM存储,-0.760,297.96,283.00,4.34,1.64,4969.96万,102.62,16.6853,3478.17亿,3262.24亿
12,600176,中国巨石,58.13,-0.97,A股,-10.00,157.83亿,107.12亿,建筑材料-玻璃玻纤-玻纤制造,中国巨石,建筑材料-玻璃玻纤-玻纤制造,周期股、昨日高振幅、上证180_、标准普尔、东方财富热股、HS300_、2026一季报预增、央国企改革、DeepSeek概念、中字头、富时罗素、PEEK材料概念、MSCI中国、题材股、融资融券、行业龙头、养老金、沪股通、电子布、大盘股、PCB、光伏概念、新材料、一带一路、中欧经济一体化、风能、长江三角,-0.570,63.00,57.67,4.47,1.71,1.77亿,46.01,7.3961,2332.23亿,2313.85亿
13,688256,寒武纪,1529.72,-0.34,A股,1.24,140.45亿,116.81亿,电子-半导体-数字芯片设计,寒武纪,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、AI芯片、HS300_、大盘成长、边缘计算、人工智能、国产操作系统、中国AI 50、科技风格、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、阿里系算力、汽车芯片,-5.290,1569.97,1512.00,1.21,1.37,760.13万,237.19,78.5436,9612.82亿,9612.82亿
