序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,成交额(元) 2026.06.26,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
1,300308,中际旭创,1253.89,-5.25,A股,444.81亿,通信-通信设备-通信网络设备及器件,中际旭创,通信-通信设备-通信网络设备及器件,国产芯片、数据中心液冷、5G概念、深证100R、贬值受益、光通信模块、深成500、节能环保、通信技术、东方财富热股、创投、HS300_、大盘成长、CPO概念、无人驾驶、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国、激光雷达、权重股、融资融券、行业龙头、液冷概念、深股通、算力概念、F5G概念、大盘股、数据中心、创业板综、汽车电子,-69.510,1296.94,1235.13,3.18,1.18,3528.11万,60.96,40.3656,1.40万亿,1.39万亿
2,603986,兆易创新,770.00,-0.67,A股,374.18亿,电子-半导体-数字芯片设计,兆易创新,电子-半导体-数字芯片设计,国产芯片、上证180_、贬值受益、存储芯片、标准普尔、小米概念、东方财富热股、智能穿戴、消费电子概念、HS300_、大盘成长、SRAM存储、人工智能、央视50_、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、题材股、融资融券、AI眼镜、超清视频、沪股通、半导体概念、大盘股、光伏概念、长鑫存储、上证50_、人形机器人、锂电池概念、汽车芯片、传感器、无线耳机、DRAM存储、汽车电子,-5.210,779.00,732.52,7.39,0.88,4939.26万,92.45,21.8009,5403.47亿,5147.39亿
3,000725,京东方Ａ,7.79,3.59,A股,356.77亿,电子-光学光电子-面板,京东方A,电子-光学光电子-面板,国产芯片、屏下摄像、LED概念、周期股、深证100R、AIPC、深成500、东方财富热股、智能穿戴、趋势股、AI应用、OLED、富时罗素、物联网、机器人概念、题材股、AB股、民营医院、融资融券、行业龙头、显示技术、超清视频、苹果概念、先进封装、光伏概念、玻璃基板、光纤概念、裸眼3D、新零售、智能医疗、MiniLED、电子纸概念、昨日高振幅、钙钛矿电池、工业互联、标准普尔、柔性屏、华为概念、小米概念、长安汽车概念、消费电子概念、HS300_、巨量转移、MicroLED、央国企改革、百日新高 、荣耀概念、CPO概念、人工智能、混合现实、科技风格、MSCI中国、医疗器械概念、AI眼镜、深股通、近期新高、虚拟电厂、充电桩、医美概念、虚拟现实、智能座舱、智慧城市、大盘股、UWB概念、电子竞技、传感器、光伏建筑一体化,0.270,8.24,7.36,12.79,1.27,45.25亿,42.26,2.1531,2885.75亿,2755.10亿
4,300502,新易盛,566.00,-7.29,A股,352.83亿,通信-通信设备-通信网络设备及器件,新易盛,通信-通信设备-通信网络设备及器件,国产芯片、权重股、5G概念、融资融券、深证100R、西部大开发、深股通、算力概念、贬值受益、光通信模块、深成500、大盘股、通信技术、数据中心、趋势股、HS300_、大盘成长、CPO概念、创业板综、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国,-44.490,598.00,550.00,4.93,1.27,6177.33万,70.96,40.6499,7891.49亿,7099.02亿
5,600584,长电科技,100.89,-3.15,A股,352.29亿,电子-半导体-集成电路封测,长电科技,电子-半导体-集成电路封测,国产芯片、IGBT概念、昨日高振幅、上证180_、贬值受益、国家大基金持股、第三代半导体、存储芯片、标准普尔、最近多板、通信技术、东方财富热股、昨日高换手、智能穿戴、消费电子概念、HS300_、中芯概念、高带宽内存、央国企改革、CPO概念、毫米波概念、人工智能、无人驾驶、科技风格、富时罗素、物联网、MSCI中国、机器人概念、题材股、华为海思、融资融券、沪股通、绿色电力、半导体概念、先进封装、大盘股、苹果概念、玻璃基板、新材料、生物识别、汽车芯片、先进封装设备、长江三角、汽车电子,-3.280,109.33,100.68,18.77,1.57,3.36亿,155.49,6.3152,1805.34亿,1805.34亿
6,600522,中天科技,61.29,-10.00,A股,248.99亿,通信-通信设备-通信线缆及配套,中天科技,通信-通信设备-通信线缆及配套,国产芯片、海工装备、数字经济、上证180_、3D打印、铜缆高速连接、东方财富热股、趋势股、空芯光纤、碳纤维、OLED、央视50_、富时罗素、物联网、阿里概念、机器人概念、数据要素、题材股、中越经济一体化、融资融券、低空经济、液冷概念、商业航天、绿色电力、半导体概念、特高压、PCB、数据中心、光伏概念、铁路基建、超导概念、光纤概念、智能电网、石墨烯、海洋经济、长江三角、碳中和、大数据、光纤光缆、数据中心液冷、5G概念、东数西算、昨日高振幅、证金持股、光通信模块、新能源车、钙钛矿电池、工业互联、标准普尔、航运概念、华为概念、通信技术、创投、电池技术、HS300_、固态电池、储能概念、核能核电、CPO概念、DeepSeek概念、超级电容、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、充电桩、沪股通、参股券商、大盘股、PET铜箔、新能源、氢能源、系统集成、新材料、可控核聚变、一带一路、锂电池概念、中欧经济一体化、阿里系算力、风能、参股银行、汽车电子、柔性直流输电,-6.810,66.48,61.29,11.59,1.30,3.95亿,56.91,5.5029,2091.80亿,2091.80亿
7,002475,立讯精密,68.00,-8.63,A股,233.14亿,电子-消费电子-消费电子零部件及组装,立讯精密,电子-消费电子-消费电子零部件及组装,国产芯片、周期股、DAC无源铜缆、深证100R、贬值受益、3D摄像头、深圳特区、深成500、铜缆高速连接、智能穿戴、CDU、无人驾驶、富时罗素、无线充电、机器人概念、融资融券、液冷概念、商业航天、苹果概念、智能音箱、数据中心、无线耳机、粤港澳大湾区、5G概念、电子烟、证金持股、转债标的、光通信模块、新能源车、标准普尔、华为概念、通信技术、消费电子概念、HS300_、智能家居、CPO概念、毫米波概念、混合现实、科技风格、HUD抬头显示、MSCI中国、权重股、AI眼镜、深股通、充电桩、虚拟现实、智能座舱、华为手机、大盘股、机器视觉、人形机器人、茅指数、海峡两岸、汽车电子,-6.420,71.50,67.05,4.66,1.26,3.40亿,34.00,5.6324,4976.42亿,4965.04亿
8,600487,亨通光电,110.81,-9.91,A股,227.20亿,通信-通信设备-通信线缆及配套,亨通光电,通信-通信设备-通信线缆及配套,国产芯片、海工装备、东方财富热股、大盘成长、无人驾驶、量子通信、富时罗素、物联网、机器人概念、题材股、军工、融资融券、液冷概念、F5G概念、特高压、网络安全、数据中心、光纤概念、智能电网、长江三角、大数据、光纤光缆、5G概念、昨日高振幅、光通信模块、新能源车、水利建设、标准普尔、华为概念、通信技术、创投、CPO概念、毫米波概念、DeepSeek概念、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、沪股通、智慧城市、大盘股、小米汽车、人形机器人、一带一路、太赫兹、风能、柔性直流输电,-12.190,120.00,110.70,8.13,1.12,1.99亿,61.81,8.6115,2733.01亿,2709.51亿
9,688525,佰维存储,501.05,4.32,A股,224.48亿,电子-半导体-数字芯片设计,佰维存储,电子-半导体-数字芯片设计,国产芯片、粤港澳大湾区、专精特新、AIPC、上证180_、国家大基金持股、存储芯片、小米概念、华为概念、东方财富热股、智能穿戴、消费电子概念、趋势股、大盘成长、信创、百日新高 、科技风格、2025年报预增、MSCI中国、阿里概念、AI手机、机器人概念、题材股、融资融券、AI眼镜、近期新高、沪股通、半导体概念、先进封装、大盘股、数据中心、历史新高 、人形机器人、比亚迪概念、股权激励、汽车芯片、DRAM存储,20.750,517.00,465.20,9.85,1.08,4647.11万,20.38,28.0037,2362.78亿,2362.78亿
10,688008,澜起科技,261.82,-6.21,A股,200.75亿,电子-半导体-数字芯片设计,澜起科技,电子-半导体-数字芯片设计,国产芯片、AIPC、上证180_、贬值受益、CPU、存储芯片、AI芯片、消费电子概念、HS300_、大盘成长、中芯概念、人工智能、科技风格、富时罗素、2025年报预增、MSCI中国、云计算、数据安全、融资融券、算力概念、沪股通、半导体概念、大盘股、数据中心、上证50_、DRAM存储,-17.340,276.97,257.02,6.59,0.96,7550.02万,94.41,15.3507,3199.96亿,3001.57亿
