序号,代码,名称,最新价(元) 2026.06.25,涨跌幅(%) 2026.06.25,证券类型,股票简称,涨跌幅(%) 2026.06.24,成交额(元) 2026.06.24,成交额(元) 2026.06.25,申万行业分类,东财行业总分类,概念,涨跌额(元) 2026.06.25,最高价(元) 2026.06.25,最低价(元) 2026.06.25,换手率(%) 2026.06.25,量比 2026.06.25,成交量(股) 2026.06.25,市盈率(动)(倍) 2026.06.25,市净率(倍) 2026.06.25,总市值(元) 2026.06.25,流通市值(元) 2026.06.25
1,603986,兆易创新,775.21,9.94,A股,兆易创新,10.00,399.45亿,384.33亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、昨日高振幅、上证180_、贬值受益、存储芯片、标准普尔、小米概念、最近多板、东方财富热股、智能穿戴、消费电子概念、HS300_、大盘成长、SRAM存储、百日新高 、人工智能、央视50_、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、题材股、融资融券、AI眼镜、近期新高、昨日首板、超清视频、沪股通、半导体概念、大盘股、光伏概念、长鑫存储、上证50_、历史新高 、人形机器人、锂电池概念、汽车芯片、传感器、无线耳机、汽车电子、DRAM存储,70.120,775.39,735.00,7.61,0.88,5086.78万,93.07,21.9484,5440.03亿,5182.22亿
2,300308,中际旭创,1323.40,0.86,A股,中际旭创,0.17,344.37亿,496.55亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、数据中心液冷、5G概念、深证100R、贬值受益、光通信模块、深成500、节能环保、通信技术、趋势股、创投、HS300_、大盘成长、CPO概念、无人驾驶、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国、激光雷达、权重股、融资融券、行业龙头、液冷概念、深股通、算力概念、F5G概念、大盘股、数据中心、创业板综、汽车电子,11.220,1345.09,1280.02,3.39,1.41,3760.90万,64.34,42.6033,1.48万亿,1.47万亿
3,002475,立讯精密,74.42,-0.84,A股,立讯精密,8.20,296.59亿,187.57亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,国产芯片、周期股、DAC无源铜缆、深证100R、贬值受益、3D摄像头、深圳特区、深成500、铜缆高速连接、东方财富热股、智能穿戴、大盘成长、CDU、无人驾驶、富时罗素、无线充电、机器人概念、融资融券、液冷概念、昨日触板、商业航天、苹果概念、智能音箱、数据中心、昨日炸板、无线耳机、粤港澳大湾区、5G概念、昨日高振幅、电子烟、证金持股、转债标的、光通信模块、新能源车、标准普尔、华为概念、通信技术、消费电子概念、HS300_、智能家居、CPO概念、毫米波概念、混合现实、科技风格、HUD抬头显示、MSCI中国、权重股、AI眼镜、深股通、充电桩、虚拟现实、智能座舱、华为手机、大盘股、机器视觉、人形机器人、茅指数、海峡两岸、汽车电子,-0.630,75.80,73.18,3.46,1.01,2.52亿,37.20,6.1641,5446.25亿,5433.80亿
4,000725,京东方Ａ,7.52,6.36,A股,京东方A,4.43,249.97亿,275.60亿,电子-光学光电子-面板,电子-光学光电子-面板,国产芯片、屏下摄像、LED概念、周期股、深证100R、AIPC、深成500、东方财富热股、智能穿戴、趋势股、AI应用、OLED、富时罗素、物联网、机器人概念、题材股、AB股、民营医院、融资融券、行业龙头、显示技术、超清视频、苹果概念、先进封装、光伏概念、玻璃基板、光纤概念、裸眼3D、大盘价值、新零售、智能医疗、MiniLED、电子纸概念、昨日高振幅、钙钛矿电池、工业互联、标准普尔、柔性屏、华为概念、小米概念、长安汽车概念、消费电子概念、HS300_、巨量转移、MicroLED、央国企改革、荣耀概念、CPO概念、人工智能、混合现实、科技风格、MSCI中国、医疗器械概念、AI眼镜、深股通、虚拟电厂、充电桩、医美概念、虚拟现实、智能座舱、智慧城市、大盘股、UWB概念、电子竞技、传感器、光伏建筑一体化,0.450,7.67,7.14,10.45,1.15,36.96亿,40.79,2.0785,2785.73亿,2659.61亿
5,600584,长电科技,104.17,10.00,A股,长电科技,10.00,237.89亿,123.21亿,电子-半导体-集成电路封测,电子-半导体-集成电路封测,国产芯片、IGBT概念、昨日高振幅、上证180_、国家大基金持股、贬值受益、第三代半导体、存储芯片、标准普尔、最近多板、通信技术、东方财富热股、智能穿戴、消费电子概念、HS300_、中芯概念、高带宽内存、央国企改革、CPO概念、毫米波概念、人工智能、无人驾驶、科技风格、富时罗素、物联网、MSCI中国、机器人概念、华为海思、融资融券、沪股通、绿色电力、半导体概念、先进封装、大盘股、苹果概念、玻璃基板、新材料、生物识别、汽车芯片、先进封装设备、长江三角、汽车电子,9.470,104.17,99.99,6.69,0.51,1.20亿,160.54,6.5205,1864.03亿,1864.03亿
6,300502,新易盛,610.49,9.94,A股,新易盛,0.60,226.67亿,405.88亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、权重股、5G概念、融资融券、深证100R、西部大开发、深股通、算力概念、贬值受益、光通信模块、深成500、大盘股、通信技术、数据中心、趋势股、HS300_、大盘成长、CPO概念、创业板综、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国,55.190,610.80,550.06,5.54,1.63,6942.74万,76.54,43.8452,8511.80亿,7657.03亿
7,688981,中芯国际,156.86,3.52,A股,中芯国际,6.94,211.61亿,184.71亿,电子-半导体-集成电路制造,电子-半导体-集成电路制造,国产芯片、权重股、融资融券、行业龙头、上证180_、国家大基金持股、沪股通、半导体概念、存储芯片、大盘股、消费电子概念、HS300_、上证50_、中芯概念、科创板做市股、茅指数、中国AI 50、科技风格、OLED、物联网、MSCI中国、汽车电子、上海自贸,5.330,158.66,151.00,5.93,1.06,1.19亿,246.62,8.9638,1.34万亿,3136.51亿
8,688256,寒武纪,1505.00,3.58,A股,寒武纪,2.83,201.85亿,237.99亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、AI芯片、HS300_、大盘成长、边缘计算、人工智能、国产操作系统、中国AI 50、科技风格、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、阿里系算力、汽车芯片,52.000,1536.25,1436.00,2.54,1.02,1598.22万,233.31,77.2607,9455.81亿,9455.81亿
9,600487,亨通光电,123.00,3.34,A股,亨通光电,1.46,193.83亿,196.23亿,通信-通信设备-通信线缆及配套,通信-通信设备-通信线缆及配套,国产芯片、海工装备、东方财富热股、趋势股、大盘成长、量子通信、无人驾驶、富时罗素、物联网、机器人概念、题材股、军工、融资融券、液冷概念、F5G概念、特高压、网络安全、数据中心、光纤概念、智能电网、长江三角、大数据、光纤光缆、5G概念、光通信模块、新能源车、水利建设、标准普尔、华为概念、通信技术、创投、CPO概念、毫米波概念、DeepSeek概念、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、沪股通、智慧城市、大盘股、小米汽车、人形机器人、一带一路、太赫兹、风能、柔性直流输电,3.980,124.77,117.15,6.61,0.86,1.62亿,68.61,9.5588,3033.66亿,3007.57亿
10,600522,中天科技,68.10,10.00,A股,中天科技,0.29,185.35亿,208.66亿,通信-通信设备-通信线缆及配套,通信-通信设备-通信线缆及配套,国产芯片、海工装备、数字经济、上证180_、3D打印、铜缆高速连接、东方财富热股、趋势股、空芯光纤、碳纤维、OLED、央视50_、富时罗素、物联网、阿里概念、机器人概念、数据要素、题材股、中越经济一体化、融资融券、低空经济、液冷概念、商业航天、绿色电力、半导体概念、特高压、PCB、数据中心、光伏概念、铁路基建、超导概念、光纤概念、智能电网、石墨烯、海洋经济、长江三角、碳中和、大数据、光纤光缆、数据中心液冷、5G概念、东数西算、昨日高振幅、证金持股、光通信模块、新能源车、钙钛矿电池、工业互联、标准普尔、航运概念、华为概念、通信技术、创投、电池技术、HS300_、固态电池、储能概念、核能核电、CPO概念、DeepSeek概念、超级电容、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、充电桩、沪股通、参股券商、大盘股、PET铜箔、新能源、氢能源、系统集成、新材料、可控核聚变、一带一路、锂电池概念、中欧经济一体化、阿里系算力、风能、参股银行、汽车电子、柔性直流输电,6.190,68.10,61.81,9.26,1.04,3.16亿,63.23,6.1143,2324.22亿,2324.22亿
11,002008,大族激光,152.80,0.37,A股,大族激光,4.91,175.01亿,132.64亿,机械设备-自动化设备-激光设备,机械设备-自动化设备-激光设备,国产芯片、火箭发射、中盘股、钙钛矿设备、3D打印、深圳特区、深成500、存储芯片、宁德时代概念、新型工业化、东方财富热股、OLED、央视50_、富时罗素、物联网、机器人概念、MicroLED设备、融资融券、中盘成长、商业航天、半导体概念、苹果概念、先进封装、PCB、光伏概念、玻璃基板、光纤概念、先进封装材料、机器人执行器、MiniLED、粤港澳大湾区、工业母机、昨日高振幅、证金持股、新能源车、钙钛矿电池、第三代半导体、标准普尔、先进制造风格、华为概念、TOPCON电池、小米概念、电池技术、消费电子概念、固态电池、巨量转移、MicroLED、光刻机/胶、混合现实、富士康概念、MSCI中国、AI眼镜、深股通、中证500、蓝箭航天、银河通用、机器视觉、锂电池概念、HJT电池、比亚迪概念、3D打印设备、高端装备、先进封装设备、电池设备、减速器、TOPCon电池、特斯拉概念,0.570,156.60,147.80,9.13,0.84,8735.76万,111.08,7.6884,1573.23亿,1461.88亿
12,688008,澜起科技,279.16,4.75,A股,澜起科技,3.29,166.16亿,253.54亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、AIPC、上证180_、贬值受益、CPU、存储芯片、AI芯片、消费电子概念、HS300_、大盘成长、中芯概念、人工智能、科技风格、富时罗素、2025年报预增、MSCI中国、云计算、数据安全、融资融券、算力概念、沪股通、半导体概念、大盘股、数据中心、上证50_、DRAM存储,12.670,284.99,268.00,7.96,1.21,9130.12万,100.66,16.3674,3411.89亿,3200.36亿
13,601138,工业富联,76.99,0.27,A股,工业富联,3.62,162.16亿,149.51亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,国产芯片、数据中心液冷、区块链、5G概念、两岸合作、东数西算、上证180_、新能源车、车联网、工业互联、标准普尔、深圳特区、新型工业化、东方财富热股、创投、HS300_、UQD连接器、算力租赁、CPO概念、独角兽、人工智能、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、阿里概念、机器人概念、云计算、权重股、融资融券、医疗器械概念、行业龙头、液冷概念、算力概念、虚拟现实、沪股通、智慧城市、大盘股、苹果概念、数据中心、英伟达概念、海峡两岸、大数据,0.210,77.70,74.85,0.99,0.73,1.96亿,36.05,8.6699,1.53万亿,1.53万亿
14,688041,海光信息,360.28,6.88,A股,海光信息,6.34,149.62亿,215.00亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、专精特新、东数西算、上证180_、抖音概念、水利建设、CPU、GPU、AI芯片、HS300_、大盘成长、腾讯概念、信创、百度概念、DeepSeek概念、人工智能、中国AI 50、科技风格、MSCI中国、阿里概念、量子科技、权重股、融资融券、算力概念、沪股通、半导体概念、大盘股、上证50_、阿里系算力,23.180,369.00,338.00,2.60,1.37,6044.63万,304.69,36.1742,8374.13亿,8374.13亿
15,688525,佰维存储,480.30,15.18,A股,佰维存储,7.07,149.57亿,224.71亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、粤港澳大湾区、专精特新、AIPC、上证180_、国家大基金持股、存储芯片、小米概念、华为概念、东方财富热股、智能穿戴、消费电子概念、趋势股、信创、科技风格、2025年报预增、MSCI中国、阿里概念、AI手机、机器人概念、融资融券、AI眼镜、沪股通、半导体概念、先进封装、大盘股、数据中心、人形机器人、比亚迪概念、股权激励、汽车芯片、DRAM存储,63.300,488.00,438.00,10.28,1.12,4845.68万,19.53,26.8440,2264.93亿,2264.93亿
16,002384,东山精密,275.80,7.26,A股,东山精密,0.83,148.71亿,213.77亿,电子-元件-印制电路板,电子-元件-印制电路板,国产芯片、光芯片、LED概念、5G概念、周期股、深证100R、高压快充、贬值受益、光通信模块、新能源车、标准普尔、深成500、华为概念、小米概念、通信技术、东方财富热股、创投、消费电子概念、智能穿戴、HS300_、2026一季报预增、CPO概念、OLED、科技风格、富时罗素、MSCI中国、机器人概念、AI手机、融资融券、深股通、大盘股、苹果概念、PCB、数据中心、人形机器人、光纤概念、服务器PCB、长江三角、MiniLED、特斯拉概念,18.670,275.99,258.25,5.71,1.00,7917.88万,113.79,22.3149,5051.57亿,3823.48亿
