序号,代码,名称,最新价(元) 2026.06.25,涨跌幅(%) 2026.06.25,证券类型,涨跌幅(%) 2026.06.24,成交额(元) 2026.06.24,成交额(元) 2026.06.25,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 2026.06.25,最高价(元) 2026.06.25,最低价(元) 2026.06.25,换手率(%) 2026.06.25,量比 2026.06.25,成交量(股) 2026.06.25,市盈率(动)(倍) 2026.06.25,市净率(倍) 2026.06.25,总市值(元) 2026.06.25,流通市值(元) 2026.06.25
1,688797,C臻宝,574.44,-1.81,A股,1212.84,98.21亿,94.17亿,电子-半导体-半导体材料,臻宝科技,电子-半导体-半导体材料,东方财富热股、专精特新、融资融券、西部大开发、国家大基金持股、高端装备、OLED、注册制次新股、半导体概念、存储芯片、次新股、先进封装,-10.560,619.97,530.00,55.84,0.73,1630.20万,437.06,31.1033,892.05亿,167.69亿
2,920438,戈碧迦,144.00,2.27,A股,25.16,14.32亿,16.25亿,电子-光学光电子-光学元件,戈碧迦,电子-光学光电子-光学元件,军工、国产芯片、专精特新、6G概念、融资融券、海工装备、昨日高振幅、近期新高、2025年报预减、商业航天、先进封装、核污染防治、PCB、趋势股、消费电子概念、玻璃基板、核能核电、历史新高 、比亚迪概念、百日新高 、先进封装材料、无人驾驶,3.200,152.19,138.00,7.97,0.97,1110.82万,454.66,21.2938,209.48亿,200.73亿
3,300506,名家汇,5.90,3.87,A股,20.08,4.32亿,5.41亿,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,名家汇,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,国产芯片、粤港澳大湾区、LED概念、昨日高振幅、近期新高、昨日首板、车联网、智慧城市、深圳特区、节能环保、最近多板、智慧灯杆、比亚迪概念、百日新高 、边缘计算,0.220,6.38,5.83,12.13,2.55,8914.47万,-163.89,6.1549,84.11亿,43.35亿
4,301310,鑫宏业,55.70,3.42,A股,20.01,8.67亿,12.65亿,汽车-汽车零部件-汽车电子电气系统,鑫宏业,汽车-汽车零部件-汽车电子电气系统,专精特新、昨日高振幅、高压快充、新能源车、铜缆高速连接、宁德时代概念、最近多板、昨日高换手、创投、储能概念、核能核电、百日新高 、机器人概念、军工、融资融券、充电桩、深股通、近期新高、光伏概念、人形机器人、历史新高 、可控核聚变、比亚迪概念、创业板综、飞行汽车,1.840,57.90,53.90,37.23,1.29,2270.25万,71.96,4.5584,106.36亿,33.97亿
5,301396,宏景科技,303.00,1.81,A股,20.00,53.16亿,50.67亿,计算机-IT服务Ⅱ-IT服务Ⅲ,宏景科技,计算机-IT服务Ⅱ-IT服务Ⅲ,多模态AI、乡村振兴、数字经济、AI智能体、东方财富热股、腾讯概念、AI应用、物联网、数据要素、智慧政务、题材股、空间计算、融资融券、腾讯系算力、昨日首板、ChatGPT概念、华为系算力、数据中心、腾讯云、财税数字化、智能医疗、大数据、专精特新、职业教育、东数西算、昨日高振幅、华为概念、最近多板、信创、算力租赁、百日新高 、DeepSeek概念、人工智能、混合现实、云计算、新型城镇化、安防概念、2025年报扭亏、深股通、算力概念、近期新高、旅游概念、智慧城市、互联网服务、小盘股、历史新高 、创业板综、小盘成长、智能物流,5.400,314.56,292.06,11.87,0.84,1679.36万,538.07,53.9322,651.22亿,428.77亿
6,688123,聚辰股份,187.80,13.21,A股,20.00,40.78亿,57.31亿,电子-半导体-数字芯片设计,聚辰股份,电子-半导体-数字芯片设计,国产芯片、专精特新、AIPC、昨日高振幅、贬值受益、电子烟、光通信模块、存储芯片、华为概念、小米概念、最近多板、消费电子概念、智能穿戴、中芯概念、荣耀概念、CPO概念、无人驾驶、融资融券、AI眼镜、昨日首板、智能座舱、上证380、沪股通、半导体概念、数据中心、小盘股、比亚迪概念、汽车芯片、小盘成长、无线耳机、汽车电子、特斯拉概念,21.920,188.50,170.90,19.75,1.91,3137.93万,241.88,11.5728,298.42亿,298.42亿
7,301132,满坤科技,56.53,3.27,A股,19.99,3.59亿,13.03亿,电子-元件-印制电路板,满坤科技,电子-元件-印制电路板,5G概念、昨日高振幅、光通信模块、新能源车、车联网、宁德时代概念、最近多板、东方财富热股、消费电子概念、百日新高 、CPO概念、无人驾驶、机器人概念、题材股、融资融券、深股通、近期新高、充电桩、昨日首板、PCB、历史新高 、智能电网、创业板综、汽车芯片、汽车电子,1.790,58.70,54.65,24.32,2.39,2304.30万,115.48,4.5592,83.71亿,53.55亿
8,301366,一博科技,61.40,-2.29,A股,19.99,18.14亿,14.28亿,电子-元件-印制电路板,一博科技,电子-元件-印制电路板,国产芯片、专精特新、东数西算、5G概念、昨日高振幅、车联网、EDA概念、华为概念、最近多板、东方财富热股、昨日高换手、腾讯概念、百日新高 、百度概念、CPO概念、人工智能、无人驾驶、阿里概念、脑机接口、机器人概念、题材股、低空经济、华为海思、融资融券、深股通、近期新高、昨日首板、智能座舱、无人机、2025年报预减、商业航天、苹果概念、PCB、数据中心、英伟达概念、历史新高 、人形机器人、比亚迪概念、创业板综、飞行汽车、汽车电子,-1.440,64.46,60.10,19.76,1.07,2312.07万,277.30,6.0010,128.66亿,71.84亿
9,301669,高特电子,47.37,4.80,A股,19.99,15.56亿,20.81亿,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,高特电子,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,钠离子电池、国产芯片、专精特新、融资融券、虚拟电厂、昨日首板、新能源车、注册制次新股、次新股、最近多板、储能概念、一带一路、创业板综,2.170,51.00,46.88,52.59,1.35,4306.82万,367.82,13.2981,227.38亿,38.79亿
10,688403,汇成股份,41.30,14.09,A股,19.99,29.36亿,68.40亿,电子-半导体-集成电路封测,汇成股份,电子-半导体-集成电路封测,国产芯片、专精特新、融资融券、昨日高振幅、近期新高、昨日首板、贬值受益、沪股通、半导体概念、存储芯片、先进封装、最近多板、小盘股、趋势股、历史新高 、百日新高 、OLED、汽车芯片、小盘成长、先进封装设备,5.100,43.30,39.00,16.68,1.82,1.65亿,-798.76,9.2649,409.26亿,409.26亿
11,688593,新相微,36.61,2.32,A股,19.99,12.62亿,13.34亿,电子-半导体-数字芯片设计,新相微,电子-半导体-数字芯片设计,国产芯片、专精特新、融资融券、电子纸概念、AI眼镜、昨日高振幅、昨日首板、沪股通、半导体概念、最近多板、小盘股、智能穿戴、消费电子概念、MicroLED、OLED、汽车芯片、小盘成长、MiniLED,0.830,36.93,34.79,8.09,1.65,3719.40万,783.40,10.8231,168.23亿,168.23亿
12,300567,精测电子,263.00,4.73,A股,18.12,36.06亿,31.28亿,机械设备-通用设备-仪器仪表,精测电子,机械设备-通用设备-仪器仪表,国产芯片、中盘股、昨日高振幅、转债标的、长江存储、国家大基金持股、存储芯片、深成500、柔性屏、宁德时代概念、先进制造风格、华为概念、小米概念、电池技术、中芯概念、高带宽内存、百日新高 、OLED、混合现实、富时罗素、富士康概念、融资融券、2025年报扭亏、AI眼镜、显示技术、深股通、近期新高、虚拟现实、超清视频、中盘成长、中证500、半导体概念、苹果概念、先进封装、玻璃基板、机器视觉、历史新高 、锂电池概念、比亚迪概念、创业板综、湖北自贸、MiniLED,11.870,269.50,250.53,5.34,1.09,1211.43万,430.64,17.8547,735.73亿,597.14亿
13,301526,国际复材,47.88,6.45,A股,17.59,91.93亿,82.12亿,建筑材料-玻璃玻纤-玻纤制造,国际复材,建筑材料-玻璃玻纤-玻纤制造,中盘股、5G概念、西部大开发、昨日高振幅、数字经济、工业互联、深成500、华为概念、通信技术、东方财富热股、趋势股、消费电子概念、央国企改革、百日新高 、PEEK材料概念、题材股、融资融券、2025年报扭亏、深股通、近期新高、中盘成长、昨日触板、中证500、绿色电力、电子布、华为手机、特高压、PCB、光伏概念、历史新高 、一带一路、创业板综、风能、汽车电子,2.900,49.20,42.60,12.37,0.87,1.74亿,167.06,21.1521,1805.50亿,672.42亿
14,301150,中一科技,69.88,2.93,A股,17.50,23.14亿,21.97亿,电力设备-电池-锂电池,中一科技,电力设备-电池-锂电池,专精特新、融资融券、复合集流体、2025年报扭亏、昨日高振幅、深股通、近期新高、PET铜箔、宁德时代概念、锂电铜箔、PCB、电池技术、固态电池、储能概念、历史新高 、锂电池概念、比亚迪概念、百日新高 、创业板综、PCB铜箔,1.990,72.24,66.33,10.44,0.88,3170.71万,79.88,6.2782,226.34亿,212.32亿
15,300301,ST长方,3.50,-3.58,A股,17.48,1.11亿,8361.45万,电子-光学光电子-LED,ST长方,电子-光学光电子-LED,创投、跨境电商、LED概念、储能概念、PPP模式、贬值受益、半导体概念、深圳特区、节能环保、植物照明、破增发价股,-0.130,3.66,3.40,3.00,1.55,2371.07万,-35.20,39.9967,29.05亿,27.64亿
16,688627,精智达,639.00,0.16,A股,16.21,44.27亿,29.49亿,机械设备-通用设备-仪器仪表,精智达,机械设备-通用设备-仪器仪表,国产芯片、粤港澳大湾区、专精特新、融资融券、东数西算、昨日高振幅、近期新高、沪股通、存储芯片、小盘股、长鑫存储、历史新高 、高带宽内存、MicroLED、百日新高 、高端装备、OLED、小盘成长、机器人概念、MicroLED设备、DRAM存储,1.000,653.66,622.00,6.37,0.66,461.71万,1033.42,34.8577,601.48亿,463.07亿
17,920510,丰光精密,22.29,-8.65,A股,16.19,4.05亿,3.43亿,机械设备-通用设备-金属制品,丰光精密,机械设备-通用设备-金属制品,国产芯片、专精特新、融资融券、人形机器人、昨日高振幅、新能源车、减速器、半导体概念、机器人概念、新型工业化,-2.110,25.35,22.09,15.63,1.06,1468.08万,-1046.02,10.5026,41.01亿,20.93亿
18,688507,索辰科技,277.00,0.14,A股,16.17,26.06亿,21.68亿,计算机-软件开发-垂直应用软件,索辰科技,计算机-软件开发-垂直应用软件,军工、火箭发射、专精特新、数字孪生、低空经济、融资融券、海工装备、昨日高振幅、近期新高、商业航天、沪股通、AI智能体、昨日高换手、历史新高 、人形机器人、百日新高 、AI应用、在线教育、人工智能、海洋经济、传感器、机器人概念,0.400,278.81,265.00,16.20,0.88,797.72万,-181.81,8.9636,246.83亿,136.38亿
19,301592,六九一二,126.00,0.40,A股,16.10,4.62亿,4.42亿,国防军工-军工电子Ⅱ-军工电子Ⅲ,六九一二,国防军工-军工电子Ⅱ-军工电子Ⅲ,军工、国产芯片、军工信息化、融资融券、西部大开发、昨日高振幅、深股通、创业板综、无人机、2025年报预减、注册制次新股、存储芯片,0.500,130.82,121.02,14.84,2.13,346.59万,-163.42,9.4475,88.20亿,29.43亿
20,688090,DR瑞松科,107.34,-4.80,A股,16.05,17.71亿,14.42亿,机械设备-自动化设备-机器人,瑞松科技,机械设备-自动化设备-机器人,国产芯片、专精特新、数字孪生、融资融券、昨日高振幅、近期新高、新能源车、沪股通、新型工业化、趋势股、机器视觉、历史新高 、比亚迪概念、百日新高 、AI应用、人工智能、传感器、机器人概念,-5.410,114.98,105.35,8.38,1.69,1333.14万,207.30,18.6901,170.67亿,170.67亿
