序号,代码,名称,最新价(元) 10:31,涨跌幅(%) 10:31,证券类型,涨跌幅(%) 2026.07.07,成交额(元) 2026.07.07,成交额(元) 10:31,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:31,最高价(元) 10:31,最低价(元) 10:31,换手率(%) 10:31,量比 10:31,成交量(股) 10:31,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
1,300308,中际旭创,1167.00,-2.33,A股,2.09,327.09亿,222.86亿,通信-通信设备-通信网络设备及器件,中际旭创,通信-通信设备-通信网络设备及器件,国产芯片、数据中心液冷、5G概念、深证100R、贬值受益、光通信模块、深成500、节能环保、通信技术、东方财富热股、创投、HS300_、大盘成长、CPO概念、无人驾驶、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国、激光雷达、权重股、融资融券、行业龙头、液冷概念、深股通、算力概念、F5G概念、大盘股、数据中心、创业板综、汽车电子,-27.900,1218.00,1166.50,1.69,2.25,1872.18万,56.74,37.5684,1.30万亿,1.30万亿
2,603986,兆易创新,676.80,2.01,A股,-5.24,322.73亿,298.32亿,电子-半导体-数字芯片设计,兆易创新,电子-半导体-数字芯片设计,国产芯片、上证180_、贬值受益、2026中报预增、存储芯片、标准普尔、小米概念、最近多板、东方财富热股、智能穿戴、消费电子概念、HS300_、大盘成长、SRAM存储、人工智能、央视50_、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、题材股、融资融券、AI眼镜、昨日首板、超清视频、沪股通、半导体概念、大盘股、光伏概念、长鑫存储、上证50_、人形机器人、锂电池概念、汽车芯片、传感器、无线耳机、DRAM存储、汽车电子,13.310,707.97,675.83,6.43,2.86,4299.59万,81.26,19.1620,4749.41亿,4524.35亿
3,300502,新易盛,552.66,1.31,A股,0.63,229.35亿,137.93亿,通信-通信设备-通信网络设备及器件,新易盛,通信-通信设备-通信网络设备及器件,国产芯片、权重股、5G概念、融资融券、深证100R、西部大开发、深股通、算力概念、贬值受益、光通信模块、深成500、大盘股、通信技术、数据中心、东方财富热股、HS300_、大盘成长、CPO概念、创业板综、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国,7.160,570.98,548.00,1.97,2.02,2464.86万,69.29,39.6918,7705.50亿,6931.70亿
4,600584,长电科技,110.00,6.26,A股,6.20,225.79亿,164.59亿,电子-半导体-集成电路封测,长电科技,电子-半导体-集成电路封测,国产芯片、IGBT概念、昨日高振幅、上证180_、国家大基金持股、贬值受益、第三代半导体、存储芯片、标准普尔、最近多板、通信技术、东方财富热股、智能穿戴、消费电子概念、HS300_、中芯概念、高带宽内存、央国企改革、CPO概念、毫米波概念、人工智能、无人驾驶、科技风格、富时罗素、物联网、MSCI中国、机器人概念、题材股、华为海思、融资融券、昨日首板、沪股通、绿色电力、半导体概念、先进封装、大盘股、苹果概念、玻璃基板、新材料、生物识别、汽车芯片、先进封装设备、长江三角、汽车电子,6.480,113.87,107.77,8.27,2.78,1.48亿,169.53,6.8855,1968.36亿,1968.36亿
5,000725,京东方Ａ,8.03,-1.47,A股,-2.32,215.75亿,147.46亿,电子-光学光电子-面板,京东方A,电子-光学光电子-面板,国产芯片、屏下摄像、LED概念、周期股、深证100R、AIPC、深成500、东方财富热股、智能穿戴、AI应用、OLED、富时罗素、物联网、机器人概念、题材股、AB股、民营医院、融资融券、行业龙头、显示技术、超清视频、苹果概念、先进封装、光伏概念、玻璃基板、智慧灯杆、光纤概念、裸眼3D、新零售、智能医疗、MiniLED、电子纸概念、昨日高振幅、新能源车、钙钛矿电池、工业互联、2026中报预增、标准普尔、柔性屏、华为概念、小米概念、长安汽车概念、消费电子概念、HS300_、巨量转移、MicroLED、央国企改革、荣耀概念、CPO概念、人工智能、混合现实、科技风格、MSCI中国、医疗器械概念、AI眼镜、深股通、虚拟电厂、充电桩、医美概念、虚拟现实、智能座舱、智慧城市、大盘股、UWB概念、电子竞技、传感器、光伏建筑一体化,-0.120,8.34,8.01,5.12,1.97,18.10亿,43.56,2.2194,2974.66亿,2839.98亿
6,002384,东山精密,266.00,1.79,A股,5.53,214.87亿,158.71亿,电子-元件-印制电路板,东山精密,电子-元件-印制电路板,国产芯片、光芯片、LED概念、5G概念、周期股、深证100R、昨日高振幅、高压快充、贬值受益、光通信模块、新能源车、标准普尔、深成500、华为概念、小米概念、最近多板、通信技术、东方财富热股、创投、智能穿戴、消费电子概念、HS300_、2026一季报预增、CPO概念、OLED、科技风格、富时罗素、MSCI中国、AI手机、机器人概念、题材股、融资融券、深股通、昨日首板、大盘股、苹果概念、PCB、数据中心、人形机器人、光纤概念、服务器PCB、长江三角、MiniLED、特斯拉概念,4.680,274.50,262.50,4.25,2.27,5889.99万,109.74,21.5220,4872.08亿,3687.62亿
7,688256,寒武纪,1555.00,1.30,A股,1.33,166.42亿,98.31亿,电子-半导体-数字芯片设计,寒武纪,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、AI芯片、HS300_、大盘成长、边缘计算、人工智能、国产操作系统、中国AI 50、科技风格、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、阿里系算力、汽车芯片,19.990,1569.97,1512.00,1.02,2.04,639.58万,241.06,79.8275,9769.96亿,9769.96亿
8,688008,澜起科技,287.20,0.49,A股,-5.76,156.10亿,117.83亿,电子-半导体-数字芯片设计,澜起科技,电子-半导体-数字芯片设计,国产芯片、AIPC、昨日高振幅、上证180_、贬值受益、CPU、存储芯片、AI芯片、东方财富热股、消费电子概念、HS300_、大盘成长、中芯概念、人工智能、科技风格、富时罗素、2025年报预增、MSCI中国、云计算、数据安全、题材股、融资融券、算力概念、沪股通、半导体概念、大盘股、数据中心、上证50_、DRAM存储,1.400,297.96,285.09,3.52,2.36,4029.90万,103.36,16.8059,3503.31亿,3285.82亿
9,600487,亨通光电,81.40,1.67,A股,-4.39,138.66亿,135.85亿,通信-通信设备-通信线缆及配套,亨通光电,通信-通信设备-通信线缆及配套,光纤光缆、国产芯片、5G概念、海工装备、昨日高振幅、光通信模块、新能源车、水利建设、标准普尔、华为概念、通信技术、东方财富热股、创投、大盘成长、CPO概念、毫米波概念、DeepSeek概念、量子通信、无人驾驶、科技风格、富时罗素、物联网、海底电缆、MSCI中国、机器人概念、电网概念、量子科技、军工、6G概念、融资融券、液冷概念、F5G概念、沪股通、特高压、智慧城市、大盘股、网络安全、数据中心、小米汽车、人形机器人、一带一路、光纤概念、智能电网、太赫兹、长江三角、风能、柔性直流输电、大数据,1.340,86.39,80.80,6.63,3.34,1.63亿,45.41,6.3259,2007.64亿,1997.27亿
10,600176,中国巨石,58.83,0.22,A股,-5.97,131.42亿,91.81亿,建筑材料-玻璃玻纤-玻纤制造,中国巨石,建筑材料-玻璃玻纤-玻纤制造,周期股、昨日高振幅、上证180_、标准普尔、东方财富热股、HS300_、2026一季报预增、央国企改革、DeepSeek概念、中字头、富时罗素、PEEK材料概念、MSCI中国、题材股、融资融券、行业龙头、养老金、沪股通、电子布、大盘股、PCB、光伏概念、新材料、一带一路、中欧经济一体化、风能、长江三角,0.130,63.00,58.00,3.80,2.58,1.51亿,46.46,7.4684,2355.05亿,2336.48亿
