序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,成交额(元) 2026.06.26,申万行业分类,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
1,001399,N惠科,42.00,315.02,A股,130.31亿,电子-光学光电子-面板,电子-光学光电子-面板,国产芯片、电子纸概念、融资融券、AIPC、注册制次新股、工业互联、次新股、小米概念、消费电子概念、智能穿戴、MicroLED、OLED、MiniLED,31.880,76.00,31.50,65.92,0.00,2.84亿,76.98,9.1452,3065.09亿,180.84亿
2,920363,莱赛激光,13.06,20.81,A股,1.75亿,机械设备-通用设备-仪器仪表,机械设备-通用设备-仪器仪表,北斗导航、军工、激光雷达、安防概念、专精特新、融资融券、2025年报扭亏、昨日高振幅、无人机、昨日触板、车联网、商业航天、军民融合、生态农业、机器视觉、卫星导航、农机、DeepSeek概念、昨日炸板、无人驾驶、高端装备、传感器、机器人概念、新型城镇化,2.250,14.05,11.14,18.73,8.00,1320.41万,618.45,4.8424,16.20亿,9.21亿
3,920405,海希通讯,18.19,20.46,A股,8777.72万,机械设备-自动化设备-工控设备,机械设备-自动化设备-工控设备,固态电池、储能概念、融资融券、昨日高振幅、工业互联、碳化硅、反转股、数据中心,3.090,18.28,14.51,4.92,2.13,541.07万,690.08,3.0563,25.51亿,20.02亿
4,300264,佳创视讯,9.77,20.02,A股,4.67亿,计算机-IT服务Ⅱ-IT服务Ⅲ,计算机-IT服务Ⅱ-IT服务Ⅲ,空间计算、专精特新、昨日高振幅、虚拟机器人、昨日首板、虚拟现实、元宇宙概念、AIGC概念、网络游戏、深圳特区、华为概念、互联网服务、Web3.0、虚拟数字人、百度概念、在线教育、裸眼3D、创业板综、人工智能、国产操作系统、混合现实、云游戏,1.630,9.77,7.99,13.64,2.34,5053.56万,-264.63,482.8225,42.09亿,36.19亿
5,301349,信德新材,75.60,20.00,A股,11.11亿,电力设备-电池-电池化学品,电力设备-电池-电池化学品,钠离子电池、钒电池、专精特新、融资融券、2025年报扭亏、昨日高振幅、碳基材料、高压快充、深股通、近期新高、昨日首板、电池技术、光伏概念、固态电池、新材料、光纤概念、锂电池概念、百日新高 、碳纤维、创业板综,12.600,75.60,63.04,13.94,1.85,1568.87万,86.01,3.9402,107.73亿,85.06亿
6,688409,富创精密,274.80,20.00,A股,30.11亿,电子-半导体-半导体设备,电子-半导体-半导体设备,国产芯片、专精特新、中盘股、融资融券、昨日高振幅、近期新高、昨日首板、沪股通、半导体概念、上海微电子、历史新高 、光刻机/胶、百日新高 、DeepSeek概念,45.800,274.80,219.50,3.90,1.34,1195.08万,363.05,18.6218,841.47亿,841.47亿
7,688432,有研硅,30.90,20.00,A股,20.95亿,电子-半导体-半导体材料,电子-半导体-半导体材料,题材股、国产芯片、融资融券、昨日高振幅、近期新高、昨日首板、沪股通、硅能源、绿色电力、半导体概念、存储芯片、小盘股、中芯概念、历史新高 、百日新高 、半导体硅片,5.150,30.90,24.77,5.91,1.62,7395.08万,192.48,8.6952,386.34亿,386.34亿
8,688596,正帆科技,56.22,20.00,A股,23.48亿,机械设备-专用设备-其他专用设备,机械设备-专用设备-其他专用设备,国产芯片、专精特新、合成生物、昨日高振幅、转债标的、第三代半导体、存储芯片、中芯概念、百日新高 、磷化工、电子特气、融资融券、医疗器械概念、近期新高、昨日首板、2025年报预减、沪股通、半导体概念、氦气概念、碳化硅、氟化工概念、氢能源、光伏概念、历史新高 、工业气体、锂电池概念、光纤概念、高端装备,9.370,56.22,45.50,15.06,2.05,4431.06万,-161.51,4.5993,165.36亿,165.36亿
9,300162,雷曼光电,12.13,19.98,A股,12.17亿,电子-光学光电子-LED,电子-光学光电子-LED,国产芯片、粤港澳大湾区、LED概念、专精特新、昨日高振幅、贬值受益、元宇宙概念、足球概念、深圳特区、柔性屏、昨日高换手、消费电子概念、农业种植、MicroLED、智能家居、在线教育、DeepSeek概念、人工智能、数据要素、安防概念、显示技术、昨日首板、超清视频、体育产业、商业航天、先进封装、玻璃基板、裸眼3D、海峡两岸、创业板综、新零售、MiniLED、植物照明,2.020,12.13,9.83,30.61,1.84,1.05亿,-91.70,6.1598,50.89亿,41.50亿
10,300540,蜀道装备,30.50,19.98,A股,10.53亿,机械设备-专用设备-其他专用设备,机械设备-专用设备-其他专用设备,专精特新、西部大开发、昨日高振幅、深股通、充电桩、昨日首板、燃料电池概念、车联网、商业航天、氦气概念、氢能源、油气资源、智慧灯杆、工业气体、一带一路、央国企改革、创业板综、天然气,5.080,30.50,24.60,17.73,2.16,3666.14万,141.23,6.1250,69.42亿,63.05亿
